time,open,high,low,close,tick_volume,spread,real_volume
2021-09-22 05:30:00+00:00,1.17225,1.1728399999999999,1.17207,1.1728,739,2,0
2021-09-22 06:00:00+00:00,1.17275,1.17325,1.17237,1.17291,1310,2,0
2021-09-22 06:30:00+00:00,1.17292,1.17374,1.1727,1.17285,1196,2,0
2021-09-22 07:00:00+00:00,1.17285,1.17304,1.17239,1.17252,1051,2,0
2021-09-22 07:30:00+00:00,1.17248,1.17346,1.17242,1.17341,967,2,0
2021-09-22 08:00:00+00:00,1.17342,1.17367,1.17311,1.17316,956,2,0
2021-09-22 08:30:00+00:00,1.17316,1.17351,1.1728399999999999,1.17285,810,2,0
2021-09-22 09:00:00+00:00,1.17285,1.17317,1.17283,1.17312,689,2,0
2021-09-22 09:30:00+00:00,1.17312,1.17349,1.17301,1.17337,864,2,0
2021-09-22 10:00:00+00:00,1.17336,1.1734,1.17287,1.17311,637,2,0
2021-09-22 10:30:00+00:00,1.17311,1.1733,1.17243,1.17261,674,2,0
2021-09-22 11:00:00+00:00,1.17261,1.17311,1.1724999999999999,1.17304,962,2,0
2021-09-22 11:30:00+00:00,1.17305,1.17329,1.17277,1.17295,1107,2,0
2021-09-22 12:00:00+00:00,1.17295,1.1733500000000001,1.17244,1.17256,995,2,0
2021-09-22 12:30:00+00:00,1.17256,1.17327,1.17243,1.1731,1537,2,0
2021-09-22 13:00:00+00:00,1.1731,1.17447,1.17286,1.17353,1485,2,0
2021-09-22 13:30:00+00:00,1.17348,1.1740599999999999,1.17301,1.17347,1435,2,0
2021-09-22 14:00:00+00:00,1.17347,1.17408,1.17327,1.17389,1145,2,0
2021-09-22 14:30:00+00:00,1.17389,1.17407,1.1734499999999999,1.17381,1210,2,0
2021-09-22 15:00:00+00:00,1.1738,1.17417,1.17341,1.1735,844,2,0
2021-09-22 15:30:00+00:00,1.17347,1.17384,1.1733,1.17352,617,2,0
2021-09-22 16:00:00+00:00,1.17352,1.17377,1.17297,1.17299,606,2,0
2021-09-22 16:30:00+00:00,1.17299,1.17301,1.17217,1.17263,742,2,0
2021-09-22 17:00:00+00:00,1.17276,1.17554,1.17046,1.17464,3653,2,0
2021-09-22 17:30:00+00:00,1.17463,1.1755,1.16903,1.1693500000000001,4361,2,0
2021-09-22 18:00:00+00:00,1.16936,1.17117,1.16846,1.17033,3184,2,0
2021-09-22 18:30:00+00:00,1.17031,1.1708,1.16939,1.16949,1913,2,0
2021-09-22 19:00:00+00:00,1.16946,1.16963,1.16904,1.16911,493,2,0
2021-09-22 19:30:00+00:00,1.16912,1.16949,1.1687400000000001,1.1687400000000001,437,2,0
2021-09-22 20:00:00+00:00,1.1687,1.16906,1.16844,1.16906,87,11,0
2021-09-22 20:30:00+00:00,1.16906,1.16936,1.16906,1.16928,98,6,0
2021-09-22 21:00:00+00:00,1.16933,1.16942,1.1691799999999999,1.16921,251,2,0
2021-09-22 21:30:00+00:00,1.16921,1.16947,1.16921,1.1694,260,2,0
2021-09-22 22:00:00+00:00,1.16942,1.16942,1.16917,1.16928,261,2,0
2021-09-22 22:30:00+00:00,1.16927,1.16927,1.16866,1.16872,408,2,0
2021-09-22 23:00:00+00:00,1.16873,1.16898,1.16839,1.16843,525,2,0
2021-09-22 23:30:00+00:00,1.16843,1.16892,1.16833,1.16888,428,2,0
2021-09-23 00:00:00+00:00,1.16887,1.169,1.16862,1.16879,512,2,0
2021-09-23 00:30:00+00:00,1.16879,1.16948,1.16877,1.16947,449,2,0
2021-09-23 01:00:00+00:00,1.16947,1.16952,1.16894,1.16951,500,2,0
2021-09-23 01:30:00+00:00,1.16951,1.16985,1.16947,1.16971,493,2,0
2021-09-23 02:00:00+00:00,1.16971,1.1705,1.16971,1.17048,515,2,0
2021-09-23 02:30:00+00:00,1.17048,1.1709100000000001,1.17036,1.1706699999999999,329,2,0
2021-09-23 03:00:00+00:00,1.1706699999999999,1.17083,1.17052,1.17055,305,2,0
2021-09-23 03:30:00+00:00,1.17055,1.17096,1.1705,1.17095,223,2,0
2021-09-23 04:00:00+00:00,1.17095,1.1710099999999999,1.17074,1.1709100000000001,301,2,0
2021-09-23 04:30:00+00:00,1.1709100000000001,1.17131,1.17085,1.17093,457,2,0
2021-09-23 05:00:00+00:00,1.17092,1.17149,1.17063,1.17148,973,2,0
2021-09-23 05:30:00+00:00,1.17148,1.17173,1.17127,1.17145,1032,2,0
2021-09-23 06:00:00+00:00,1.17144,1.17244,1.17134,1.1717,1628,2,0
2021-09-23 06:30:00+00:00,1.1712799999999999,1.17161,1.17053,1.17151,1705,2,0
2021-09-23 07:00:00+00:00,1.17153,1.17278,1.17099,1.17272,1598,2,0
2021-09-23 07:30:00+00:00,1.1727400000000001,1.17289,1.17206,1.17208,1366,2,0
2021-09-23 08:00:00+00:00,1.17207,1.17324,1.17194,1.17264,1581,2,0
2021-09-23 08:30:00+00:00,1.17263,1.17296,1.17209,1.17218,1291,2,0
2021-09-23 09:00:00+00:00,1.17218,1.17259,1.17108,1.1715,1671,2,0
2021-09-23 09:30:00+00:00,1.17153,1.17211,1.17129,1.17155,1680,2,0
2021-09-23 10:00:00+00:00,1.17155,1.17185,1.17113,1.17114,1641,2,0
2021-09-23 10:30:00+00:00,1.17114,1.172,1.17113,1.17151,1361,2,0
2021-09-23 11:00:00+00:00,1.17156,1.17191,1.1714,1.1717,1271,2,0
2021-09-23 11:30:00+00:00,1.17171,1.17324,1.17163,1.1729,1848,2,0
2021-09-23 12:00:00+00:00,1.17285,1.17326,1.17214,1.17268,1745,2,0
2021-09-23 12:30:00+00:00,1.17271,1.17397,1.17259,1.17389,1972,2,0
2021-09-23 13:00:00+00:00,1.17389,1.17496,1.17375,1.17445,1857,2,0
2021-09-23 13:30:00+00:00,1.17445,1.17499,1.17408,1.17486,1632,2,0
2021-09-23 14:00:00+00:00,1.17485,1.17498,1.17328,1.17378,1741,2,0
2021-09-23 14:30:00+00:00,1.17381,1.17421,1.17324,1.17342,1225,2,0
2021-09-23 15:00:00+00:00,1.17341,1.1740599999999999,1.17304,1.17405,886,2,0
2021-09-23 15:30:00+00:00,1.17401,1.17442,1.17399,1.17438,746,2,0
