,date,open,high,low,close,tick_volume,spread,real_volume
6701,5/30/2017 19:30,15434,15441,15404,15404,745,0,0
6702,5/30/2017 18:30,15376,15434,15375,15432,710,0,0
6703,5/30/2017 17:30,15342,15387,15342,15376,847,0,0
6704,5/30/2017 16:30,15347,15406,15332,15342,1082,0,0
6705,5/26/2017 22:30,15367,15368,15330,15362,294,0,0
6706,5/26/2017 21:30,15378,15391,15362,15369,728,0,0
6707,5/26/2017 20:30,15366,15388,15350,15377,740,0,0
6708,5/26/2017 19:30,15369,15375,15347,15365,604,0,0
6709,5/26/2017 18:30,15363,15380,15345,15370,767,0,0
6710,5/26/2017 17:30,15362,15391,15351,15365,870,0,0
6711,5/26/2017 16:30,15395,15421,15345,15358,1083,0,0
6712,5/25/2017 22:30,15389,15412,15369,15384,453,0,0
6713,5/25/2017 21:30,15413,15420,15387,15391,747,0,0
6714,5/25/2017 20:30,15417,15419,15404,15412,703,0,0
6715,5/25/2017 19:30,15393,15433,15393,15416,727,0,0
6716,5/25/2017 18:30,15369,15408,15356,15394,859,0,0
6717,5/25/2017 17:30,15349,15408,15349,15368,887,0,0
6718,5/25/2017 16:30,15362,15367,15303,15349,1156,0,0
6719,5/24/2017 22:30,15324,15335,15310,15324,448,0,0
6720,5/24/2017 21:30,15323,15325,15291,15321,850,0,0
6721,5/24/2017 20:30,15309,15349,15308,15324,848,0,0
6722,5/24/2017 19:30,15316,15330,15299,15310,697,0,0
6723,5/24/2017 18:30,15308,15317,15268,15316,908,0,0
6724,5/24/2017 17:30,15334,15357,15294,15304,883,0,0
6725,5/24/2017 16:30,15371,15413,15303,15334,1152,0,0
6726,5/23/2017 22:30,15352,15377,15346,15377,359,0,0
6727,5/23/2017 21:30,15356,15369,15342,15353,722,0,0
6728,5/23/2017 20:30,15359,15368,15336,15355,772,0,0
6729,5/23/2017 19:30,15354,15376,15331,15361,852,0,0
6730,5/23/2017 18:30,15408,15408,15353,15356,789,0,0
6731,5/23/2017 17:30,15404,15417,15385,15408,876,0,0
6732,5/23/2017 16:30,15470,15470,15373,15406,1156,0,0
6733,5/22/2017 22:30,15375,15399,15374,15394,368,0,0
6734,5/22/2017 21:30,15374,15392,15367,15373,834,0,0
6735,5/22/2017 20:30,15409,15410,15357,15376,827,0,0
6736,5/22/2017 19:30,15387,15410,15372,15409,703,0,0
6737,5/22/2017 18:30,15360,15390,15351,15385,838,0,0
6738,5/22/2017 17:30,15337,15366,15291,15361,1029,0,0
6739,5/22/2017 16:30,15398,15456,15300,15338,1235,0,0
6740,5/19/2017 22:30,15283,15303,15263,15295,602,0,0
6741,5/19/2017 21:30,15329,15354,15270,15286,987,0,0
6742,5/19/2017 20:30,15356,15364,15329,15331,798,0,0
6743,5/19/2017 19:30,15350,15372,15345,15355,845,0,0
6744,5/19/2017 18:30,15335,15363,15321,15350,936,0,0
6745,5/19/2017 17:30,15370,15396,15334,15336,1078,0,0
6746,5/19/2017 16:30,15340,15374,15301,15369,1258,0,0
6747,5/18/2017 22:30,15256,15294,15240,15241,547,0,0
6748,5/18/2017 21:30,15303,15319,15242,15254,1104,0,0
6749,5/18/2017 20:30,15222,15302,15211,15300,1116,0,0
6750,5/18/2017 19:30,15218,15249,15190,15221,1078,0,0
6751,5/18/2017 18:30,15266,15275,15156,15220,1142,0,0
6752,5/18/2017 17:30,15306,15317,15230,15265,1218,0,0
6753,5/18/2017 16:30,15127,15333,15118,15304,1390,0,0
6754,5/17/2017 22:30,15064,15080,14973,15026,648,0,0
6755,5/17/2017 21:30,15060,15097,14992,15062,1232,0,0
6756,5/17/2017 20:30,15172,15177,15050,15056,1197,0,0
6757,5/17/2017 19:30,15153,15215,15152,15169,983,0,0
6758,5/17/2017 18:30,15168,15244,15153,15153,1105,0,0
6759,5/17/2017 17:30,15251,15267,15039,15167,1305,0,0
6760,5/17/2017 16:30,15379,15450,15226,15252,1354,0,0
6761,5/16/2017 22:30,15531,15547,15528,15545,180,0,0
6762,5/16/2017 21:30,15530,15535,15520,15530,437,0,0
6763,5/16/2017 20:30,15510,15533,15497,15532,778,0,0
6764,5/16/2017 19:30,15533,15544,15511,15514,771,0,0
6765,5/16/2017 18:30,15509,15544,15500,15532,955,0,0
6766,5/16/2017 17:30,15482,15537,15471,15511,1019,0,0
6767,5/16/2017 16:30,15591,15601,15480,15480,1208,0,0
6768,5/15/2017 22:30,15546,15567,15533,15564,305,0,0
6769,5/15/2017 21:30,15521,15554,15520,15545,715,0,0
6770,5/15/2017 20:30,15546,15551,15520,15520,686,0,0
6771,5/15/2017 19:30,15512,15551,15508,15547,742,0,0
6772,5/15/2017 18:30,15544,15557,15510,15513,778,0,0
6773,5/15/2017 17:30,15566,15597,15534,15542,837,0,0
6774,5/15/2017 16:30,15589,15661,15506,15566,1176,0,0
6775,5/12/2017 22:30,15566,15611,15553,15608,398,0,0
6776,5/12/2017 21:30,15597,15605,15564,15565,530,0,0
6777,5/12/2017 20:30,15584,15618,15567,15596,726,0,0
6778,5/12/2017 19:30,15601,15622,15568,15584,757,0,0
6779,5/12/2017 18:30,15625,15639,15585,15601,821,0,0
6780,5/12/2017 17:30,15579,15624,15543,15624,1050,0,0
6781,5/12/2017 16:30,15495,15640,15495,15579,1201,0,0
6782,5/11/2017 22:30,15360,15406,15357,15396,375,0,0
6783,5/11/2017 21:30,15364,15370,15334,15361,643,0,0
6784,5/11/2017 20:30,15308,15364,15307,15363,790,0,0
6785,5/11/2017 19:30,15287,15324,15260,15308,745,0,0
6786,5/11/2017 18:30,15272,15305,15255,15287,793,0,0
6787,5/11/2017 17:30,15276,15288,15236,15271,1009,0,0
6788,5/11/2017 16:30,15277,15352,15230,15274,1183,0,0
6789,5/10/2017 22:30,15293,15330,15284,15320,441,0,0
6790,5/10/2017 21:30,15346,15350,15292,15292,680,0,0
6791,5/10/2017 20:30,15323,15363,15316,15346,762,0,0
6792,5/10/2017 19:30,15321,15347,15319,15324,762,0,0
6793,5/10/2017 18:30,15332,15332,15292,15321,842,0,0
6794,5/10/2017 17:30,15218,15343,15211,15331,1038,0,0
6795,5/10/2017 16:30,15355,15391,15216,15216,1207,0,0
6796,5/9/2017 22:30,15398,15404,15362,15396,470,0,0
6797,5/9/2017 21:30,15351,15409,15349,15397,862,0,0
6798,5/9/2017 20:30,15396,15405,15346,15354,982,0,0
6799,5/9/2017 19:30,15426,15452,15393,15396,939,0,0
6800,5/9/2017 18:30,15434,15435,15372,15425,1023,0,0
6801,5/9/2017 17:30,15436,15472,15402,15433,1134,0,0
6802,5/9/2017 16:30,15380,15485,15350,15437,1294,0,0
6803,5/8/2017 22:30,15309,15317,15284,15299,377,0,0
6804,5/8/2017 21:30,15323,15357,15301,15310,912,0,0
6805,5/8/2017 20:30,15290,15368,15283,15326,1043,0,0
6806,5/8/2017 19:30,15289,15324,15246,15294,1053,0,0
6807,5/8/2017 18:30,15158,15295,15155,15290,1101,0,0
6808,5/8/2017 17:30,15083,15160,15078,15159,1047,0,0
6809,5/8/2017 16:30,14920,15092,14912,15085,1156,0,0
6810,5/5/2017 22:30,14853,14895,14850,14895,330,0,0
6811,5/5/2017 21:30,14865,14873,14851,14853,452,0,0
6812,5/5/2017 20:30,14857,14879,14848,14868,553,0,0
6813,5/5/2017 19:30,14848,14869,14836,14857,654,0,0
6814,5/5/2017 18:30,14809,14890,14800,14850,780,0,0
6815,5/5/2017 17:30,14779,14818,14752,14807,848,0,0
6816,5/5/2017 16:30,14683,14798,14683,14780,1063,0,0
6817,5/4/2017 22:30,14636,14666,14632,14651,311,0,0
6818,5/4/2017 21:30,14653,14658,14628,14635,672,0,0
6819,5/4/2017 20:30,14641,14657,14625,14654,747,0,0
6820,5/4/2017 19:30,14603,14655,14601,14642,773,0,0
6821,5/4/2017 18:30,14631,14646,14581,14604,899,0,0
6822,5/4/2017 17:30,14634,14648,14620,14630,866,0,0
6823,5/4/2017 16:30,14669,14709,14584,14635,1162,0,0
6824,5/3/2017 22:30,14725,14735,14652,14695,403,0,0
6825,5/3/2017 21:30,14709,14745,14700,14724,972,0,0
6826,5/3/2017 20:30,14686,14730,14675,14710,989,0,0
6827,5/3/2017 19:30,14697,14748,14680,14686,1051,0,0
6828,5/3/2017 18:30,14623,14696,14600,14696,1025,0,0
6829,5/3/2017 17:30,14613,14649,14576,14625,1153,0,0
6830,5/3/2017 16:30,14513,14616,14426,14615,1297,0,0
